id,name,code,country_id:id
state_py_asuncion,Asunción,ASU,base.py
state_py_central,Central,11,base.py
state_py_concepcion,Concepción,1,base.py
state_py_san_pedro,San Pedro,2,base.py
state_py_cordillera,Cordillera,3,base.py
state_py_guaira,Guairá,4,base.py
state_py_caaguazu,Caaguazú,5,base.py
state_py_caazapa,Caazapá,6,base.py
state_py_itanara,Itapúa,7,base.py
state_py_misiones,Misiones,8,base.py
state_py_paraguari,Paraguarí,9,base.py
state_py_alto_parana,Alto Paraná,10,base.py
state_py_neembucu,Ñeembucú,12,base.py
state_py_amambay,Amambay,13,base.py
state_py_canindeyu,Canindeyú,14,base.py
state_py_presidente_hayes,Presidente Hayes,15,base.py
state_py_alto_paraguay,Alto Paraguay,16,base.py
state_py_boqueron,Boquerón,19,base.py
